# Force and moment coefficients
# dragDir       : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# rollAxis      : (9.65925826e-01 2.58819045e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.58819045e-01 9.65925826e-01 0.00000000e+00)
# magUInf       : 9.42371919e+01
# lRef          : 1.50000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0105          	1.06365735e-01	-3.70199756e-01	4.76565491e-01	1.27014787e+00	5.86656097e-01	6.83491774e-01	-4.84178385e-02	-4.23382623e-01	3.54552449e-02	-1.13645457e-20	3.54552449e-02	-3.54552449e-02
0.011           	1.21752643e-01	-3.76455000e-01	4.98207643e-01	1.31199396e+00	5.96394421e-01	7.15599544e-01	-5.96025614e-02	-4.37331321e-01	4.05842143e-02	-1.12987212e-20	4.05842143e-02	-4.05842143e-02
0.0115          	1.35237442e-01	-3.81854058e-01	5.17091500e-01	1.34841834e+00	6.07141949e-01	7.41276388e-01	-6.70672196e-02	-4.49472779e-01	4.50791473e-02	-1.13597036e-20	4.50791473e-02	-4.50791473e-02
0.012           	1.47834981e-01	-3.90611180e-01	5.38446161e-01	1.39358601e+00	6.16152009e-01	7.77434002e-01	-8.06409967e-02	-4.64528670e-01	4.92783269e-02	-1.14574704e-20	4.92783269e-02	-4.92783269e-02
0.0125          	1.57447297e-01	-3.98308621e-01	5.55755918e-01	1.43109681e+00	6.25266075e-01	8.05830734e-01	-9.02823297e-02	-4.77032270e-01	5.24824323e-02	-1.15090687e-20	5.24824323e-02	-5.24824323e-02
0.013           	1.64619773e-01	-4.05562561e-01	5.70182334e-01	1.46361734e+00	6.31534970e-01	8.32082372e-01	-1.00273701e-01	-4.87872447e-01	5.48732576e-02	-1.14954689e-20	5.48732576e-02	-5.48732576e-02
0.0135          	1.70792789e-01	-4.12512386e-01	5.83305175e-01	1.49372634e+00	6.37750872e-01	8.55975468e-01	-1.09112298e-01	-4.97908780e-01	5.69309297e-02	-1.14433915e-20	5.69309297e-02	-5.69309297e-02
0.014           	1.75149567e-01	-4.18280465e-01	5.93430032e-01	1.51756575e+00	6.43496464e-01	8.74069281e-01	-1.15286408e-01	-5.05855248e-01	5.83831889e-02	-1.13826614e-20	5.83831889e-02	-5.83831889e-02
0.0145          	1.78547997e-01	-4.23156890e-01	6.01704887e-01	1.53729267e+00	6.50004632e-01	8.87288033e-01	-1.18641701e-01	-5.12430888e-01	5.95159989e-02	-1.15508774e-20	5.95159989e-02	-5.95159989e-02
0.015           	1.80362470e-01	-4.26568544e-01	6.06931014e-01	1.55024934e+00	6.56618925e-01	8.93630412e-01	-1.18505744e-01	-5.16749779e-01	6.01208232e-02	-1.14893670e-20	6.01208232e-02	-6.01208232e-02
0.0155          	1.82470649e-01	-4.30878972e-01	6.13349621e-01	1.56634289e+00	6.61602951e-01	9.04739938e-01	-1.21568494e-01	-5.22114296e-01	6.08235497e-02	-1.15206328e-20	6.08235497e-02	-6.08235497e-02
0.016           	1.83660207e-01	-4.34595810e-01	6.18256017e-01	1.57927774e+00	6.66781580e-01	9.12496160e-01	-1.22857290e-01	-5.26425913e-01	6.12200690e-02	-1.15490480e-20	6.12200690e-02	-6.12200690e-02
0.0165          	1.84829508e-01	-4.38784602e-01	6.23614110e-01	1.59359807e+00	6.71440783e-01	9.22157287e-01	-1.25358252e-01	-5.31199356e-01	6.16098360e-02	-1.14992801e-20	6.16098360e-02	-6.16098360e-02
0.017           	1.86102912e-01	-4.42957335e-01	6.29060247e-01	1.60802637e+00	6.75368336e-01	9.32658038e-01	-1.28644851e-01	-5.36008791e-01	6.20343041e-02	-1.14878068e-20	6.20343041e-02	-6.20343041e-02
0.0175          	1.85784384e-01	-4.45910165e-01	6.31694549e-01	1.61640707e+00	6.79303678e-01	9.37103394e-01	-1.28899858e-01	-5.38802357e-01	6.19281279e-02	-1.14987804e-20	6.19281279e-02	-6.19281279e-02
0.018           	1.82782614e-01	-4.47248293e-01	6.30030907e-01	1.61591880e+00	6.85753409e-01	9.30165392e-01	-1.22205991e-01	-5.38639600e-01	6.09275379e-02	-1.14926481e-20	6.09275379e-02	-6.09275379e-02
0.0185          	1.81552409e-01	-4.50449933e-01	6.32002342e-01	1.62367841e+00	6.89225475e-01	9.34452938e-01	-1.22613732e-01	-5.41226138e-01	6.05174698e-02	-1.15276118e-20	6.05174698e-02	-6.05174698e-02
0.019           	1.83338705e-01	-4.55095636e-01	6.38434341e-01	1.64029496e+00	6.89708130e-01	9.50586835e-01	-1.30439353e-01	-5.46764988e-01	6.11129017e-02	-1.14921418e-20	6.11129017e-02	-6.11129017e-02
0.0195          	1.84838236e-01	-4.59760046e-01	6.44598282e-01	1.65653749e+00	6.89802283e-01	9.66735209e-01	-1.38466463e-01	-5.52179164e-01	6.16127454e-02	-1.15099310e-20	6.16127454e-02	-6.16127454e-02
0.02            	1.85319022e-01	-4.63752554e-01	6.49071575e-01	1.66923619e+00	6.91272553e-01	9.77963641e-01	-1.43345544e-01	-5.56412065e-01	6.17730072e-02	-1.15115194e-20	6.17730072e-02	-6.17730072e-02
0.0205          	1.84403169e-01	-4.66063549e-01	6.50466717e-01	1.67479540e+00	6.95040699e-01	9.79754700e-01	-1.42357001e-01	-5.58265133e-01	6.14677229e-02	-1.15199792e-20	6.14677229e-02	-6.14677229e-02
0.021           	1.81908520e-01	-4.67523847e-01	6.49432368e-01	1.67543432e+00	6.99697823e-01	9.75736499e-01	-1.38019338e-01	-5.58478107e-01	6.06361734e-02	-1.14632823e-20	6.06361734e-02	-6.06361734e-02
0.0215          	1.79988181e-01	-4.68937701e-01	6.48925882e-01	1.67679538e+00	7.04859590e-01	9.71935785e-01	-1.33538098e-01	-5.58931792e-01	5.99960605e-02	-1.15357271e-20	5.99960605e-02	-5.99960605e-02
0.022           	1.78911505e-01	-4.70477861e-01	6.49389366e-01	1.67980084e+00	7.08894215e-01	9.70906625e-01	-1.31006205e-01	-5.59933613e-01	5.96371682e-02	-1.15459360e-20	5.96371682e-02	-5.96371682e-02
0.0225          	1.78124639e-01	-4.72586555e-01	6.50711194e-01	1.68494662e+00	7.11918167e-01	9.73028458e-01	-1.30555145e-01	-5.61648875e-01	5.93748797e-02	-1.15326270e-20	5.93748797e-02	-5.93748797e-02
0.023           	1.78450470e-01	-4.74843170e-01	6.53293640e-01	1.69220521e+00	7.15393426e-01	9.76811789e-01	-1.30709182e-01	-5.64068405e-01	5.94834899e-02	-1.15229912e-20	5.94834899e-02	-5.94834899e-02
0.0235          	1.78066840e-01	-4.76514892e-01	6.54581732e-01	1.69664494e+00	7.19119022e-01	9.77525913e-01	-1.29203445e-01	-5.65548312e-01	5.93556134e-02	-1.14604551e-20	5.93556134e-02	-5.93556134e-02
0.024           	1.75587056e-01	-4.77535776e-01	6.53122832e-01	1.69598791e+00	7.23730550e-01	9.72257362e-01	-1.24263406e-01	-5.65329304e-01	5.85290186e-02	-1.15464121e-20	5.85290186e-02	-5.85290186e-02
0.0245          	1.74393796e-01	-4.78963425e-01	6.53357221e-01	1.69848097e+00	7.27784000e-01	9.70696969e-01	-1.21456485e-01	-5.66160323e-01	5.81312653e-02	-1.15567560e-20	5.81312653e-02	-5.81312653e-02
0.025           	1.76619208e-01	-4.82031076e-01	6.58650284e-01	1.71102204e+00	7.28125679e-01	9.82896363e-01	-1.27385342e-01	-5.70340680e-01	5.88730693e-02	-1.15901946e-20	5.88730693e-02	-5.88730693e-02
