# ccx tau_xx tau_yy tau_zz cp yplus
0.290637 -6.83766 0.881665 -4.12856e-19 -0.38848 936.14
0.315572 -7.02007 0.68427 -2.23342e-19 -0.377772 956.67
0.3417 -7.01028 0.947254 -1.99089e-19 -0.374439 977.345
0.369008 -7.07255 0.396715 -1.17615e-21 -0.356462 998.748
0.397466 -7.34256 0.384804 -9.0472e-20 -0.3548 1020.72
0.427067 -7.33341 0.675165 3.73311e-19 -0.350165 1045.29
0.457801 -7.37752 0.0728884 -3.52227e-19 -0.31923 1066.04
0.489756 -7.64105 0.286198 8.53558e-20 -0.307988 1091.16
0.523081 -7.63661 0.422052 -6.89015e-19 -0.297753 1116.51
0.557709 -7.61038 -0.250567 7.01841e-19 -0.265636 1133.34
0.593511 -7.71507 0.326224 1.0074e-18 -0.268376 1155.41
0.630563 -7.81249 -0.371238 -6.20364e-19 -0.281125 1170.6
0.669133 -7.92425 0.405819 -6.25889e-19 -0.259478 1201.73
0.70918 -7.76148 -0.351894 6.25318e-19 -0.223058 1221.06
0.750486 -7.8151 -0.319253 -3.0845e-35 -0.194718 1243.34
0.793255 -8.01474 -0.488025 1.16408e-18 -0.204309 1268.73
0.83775 -8.00279 0.244893 -1.1859e-18 -0.192207 1307.32
0.883865 -7.97543 -1.19334 1.19596e-18 -0.131697 1321.72
0.931467 -8.02507 0.446821 -1.17953e-18 -0.155391 1342.61
0.98084 -7.81009 -1.1417 5.55071e-19 -0.111568 1346.51
1.03228 -7.90057 -0.125077 -2.70435e-18 -0.100783 1360.72
1.08574 -7.79735 -0.970076 5.14259e-19 -0.0721311 1373.85
1.14124 -7.73745 -0.213785 2.01734e-18 -0.0559855 1388.78
1.19903 -7.52168 -0.992408 -1.92286e-18 -0.0190687 1398.4
1.25945 -7.38154 -0.353355 -9.15405e-19 0.00318078 1407.88
1.32292 -7.15849 -1.02577 -2.64997e-18 0.0543911 1426.2
1.38999 -6.89723 -0.250536 -3.32608e-18 0.0978571 1429.95
1.46225 -5.97989 -1.13026 -7.5663e-19 0.190535 1450.96
